Local time,,Date,Time,Open,High,Low,Close,Volume
06.01.2020 16:50:00.000 GMT+0100,06.01.2020 16:50:00,06.01.2020,16:50:00,290.197,290.248,290.147,290.237,2.442
06.01.2020 16:51:00.000 GMT+0100,06.01.2020 16:51:00,06.01.2020,16:51:00,290.248,290.388,290.177,290.337,1.263
06.01.2020 16:52:00.000 GMT+0100,06.01.2020 16:52:00,06.01.2020,16:52:00,290.347,290.348,290.197,290.247,1.7055
06.01.2020 16:53:00.000 GMT+0100,06.01.2020 16:53:00,06.01.2020,16:53:00,290.247,290.348,290.147,290.327,2.2605
06.01.2020 16:54:00.000 GMT+0100,06.01.2020 16:54:00,06.01.2020,16:54:00,290.338,290.338,290.178,290.287,2.703
06.01.2020 16:55:00.000 GMT+0100,06.01.2020 16:55:00,06.01.2020,16:55:00,290.298,290.298,290.098,290.177,0.804
06.01.2020 16:56:00.000 GMT+0100,06.01.2020 16:56:00,06.01.2020,16:56:00,290.177,290.177,289.877,289.948,1.047
06.01.2020 16:57:00.000 GMT+0100,06.01.2020 16:57:00,06.01.2020,16:57:00,289.947,290.048,289.928,290.048,1.2105
06.01.2020 16:58:00.000 GMT+0100,06.01.2020 16:58:00,06.01.2020,16:58:00,290.047,290.048,289.928,289.947,1.17
06.01.2020 16:59:00.000 GMT+0100,06.01.2020 16:59:00,06.01.2020,16:59:00,289.948,289.998,289.797,289.998,0.7545
06.01.2020 17:00:00.000 GMT+0100,06.01.2020 17:00:00,06.01.2020,17:00:00,289.948,290.038,289.938,290.038,2.0625
06.01.2020 17:01:00.000 GMT+0100,06.01.2020 17:01:00,06.01.2020,17:01:00,290.038,290.098,290.027,290.098,1.404
06.01.2020 17:02:00.000 GMT+0100,06.01.2020 17:02:00,06.01.2020,17:02:00,290.098,290.098,290.027,290.098,1.3365
06.01.2020 17:03:00.000 GMT+0100,06.01.2020 17:03:00,06.01.2020,17:03:00,290.138,290.228,290.048,290.128,1.11
06.01.2020 17:04:00.000 GMT+0100,06.01.2020 17:04:00,06.01.2020,17:04:00,290.128,290.248,290.098,290.247,1.0515
06.01.2020 17:05:00.000 GMT+0100,06.01.2020 17:05:00,06.01.2020,17:05:00,290.248,290.287,290.197,290.248,1.062
06.01.2020 17:06:00.000 GMT+0100,06.01.2020 17:06:00,06.01.2020,17:06:00,290.248,290.348,290.198,290.348,1.3785
06.01.2020 17:07:00.000 GMT+0100,06.01.2020 17:07:00,06.01.2020,17:07:00,290.348,290.348,290.297,290.298,0.243
06.01.2020 17:08:00.000 GMT+0100,06.01.2020 17:08:00,06.01.2020,17:08:00,290.297,290.398,290.297,290.298,0.9465
06.01.2020 17:09:00.000 GMT+0100,06.01.2020 17:09:00,06.01.2020,17:09:00,290.298,290.348,290.247,290.347,0.612
06.01.2020 17:10:00.000 GMT+0100,06.01.2020 17:10:00,06.01.2020,17:10:00,290.348,290.448,290.347,290.438,1.7805
06.01.2020 17:11:00.000 GMT+0100,06.01.2020 17:11:00,06.01.2020,17:11:00,290.438,290.478,290.438,290.448,0.723
06.01.2020 17:12:00.000 GMT+0100,06.01.2020 17:12:00,06.01.2020,17:12:00,290.477,290.498,290.398,290.447,1.2405
06.01.2020 17:13:00.000 GMT+0100,06.01.2020 17:13:00,06.01.2020,17:13:00,290.448,290.627,290.447,290.597,1.8615
