Local time,,Date,Time,Open,High,Low,Close,Volume
06.01.2020 19:31:00.000 GMT+0100,06.01.2020 19:31:00,06.01.2020,19:31:00,13136.35,13136.89,13135.4,13135.68,0.0198
06.01.2020 19:32:00.000 GMT+0100,06.01.2020 19:32:00,06.01.2020,19:32:00,13136.18,13136.7,13135.35,13135.67,0.0162
06.01.2020 19:33:00.000 GMT+0100,06.01.2020 19:33:00,06.01.2020,19:33:00,13135.36,13136.18,13134.19,13135.17,0.0349
06.01.2020 19:34:00.000 GMT+0100,06.01.2020 19:34:00,06.01.2020,19:34:00,13134.88,13135.66,13134.36,13134.69,0.0112
06.01.2020 19:35:00.000 GMT+0100,06.01.2020 19:35:00,06.01.2020,19:35:00,13135.19,13135.8,13134.38,13134.7,0.0252
06.01.2020 19:36:00.000 GMT+0100,06.01.2020 19:36:00,06.01.2020,19:36:00,13134.89,13137.5,13134.66,13136.3,0.0364
06.01.2020 19:37:00.000 GMT+0100,06.01.2020 19:37:00,06.01.2020,19:37:00,13136.8,13137.3,13135.67,13136.88,0.041
06.01.2020 19:38:00.000 GMT+0100,06.01.2020 19:38:00,06.01.2020,19:38:00,13136.8,13137.18,13135.69,13135.8,0.0265
06.01.2020 19:39:00.000 GMT+0100,06.01.2020 19:39:00,06.01.2020,19:39:00,13135.19,13136.17,13134.66,13135.2,0.0161
06.01.2020 19:40:00.000 GMT+0100,06.01.2020 19:40:00,06.01.2020,19:40:00,13134.9,13136.18,13134.86,13136.18,0.0265
06.01.2020 19:41:00.000 GMT+0100,06.01.2020 19:41:00,06.01.2020,19:41:00,13135.89,13136.2,13134.9,13134.9,0.0085
06.01.2020 19:42:00.000 GMT+0100,06.01.2020 19:42:00,06.01.2020,19:42:00,13135.3,13135.8,13134.85,13135.8,0.008
06.01.2020 19:43:00.000 GMT+0100,06.01.2020 19:43:00,06.01.2020,19:43:00,13135.87,13136.15,13135.87,13135.87,0.0027
06.01.2020 19:44:00.000 GMT+0100,06.01.2020 19:44:00,06.01.2020,19:44:00,13136.19,13136.19,13135.18,13135.38,0.0123
06.01.2020 19:45:00.000 GMT+0100,06.01.2020 19:45:00,06.01.2020,19:45:00,13135.65,13137.16,13135.36,13136.88,0.0228
06.01.2020 19:46:00.000 GMT+0100,06.01.2020 19:46:00,06.01.2020,19:46:00,13136.68,13138.16,13136.68,13137.68,0.0058
06.01.2020 19:47:00.000 GMT+0100,06.01.2020 19:47:00,06.01.2020,19:47:00,13137.9,13139.39,13137.65,13138.37,0.0174
06.01.2020 19:48:00.000 GMT+0100,06.01.2020 19:48:00,06.01.2020,19:48:00,13138.8,13139.3,13138.18,13138.65,0.0241
06.01.2020 19:49:00.000 GMT+0100,06.01.2020 19:49:00,06.01.2020,19:49:00,13139.15,13139.8,13137.7,13138.67,0.0228
06.01.2020 19:50:00.000 GMT+0100,06.01.2020 19:50:00,06.01.2020,19:50:00,13138.39,13138.8,13137.67,13137.7,0.0174
06.01.2020 19:51:00.000 GMT+0100,06.01.2020 19:51:00,06.01.2020,19:51:00,13138,13138.17,13137.65,13137.69,0.0322
06.01.2020 19:52:00.000 GMT+0100,06.01.2020 19:52:00,06.01.2020,19:52:00,13137.86,13139.2,13137.68,13139.15,0.0128
06.01.2020 19:53:00.000 GMT+0100,06.01.2020 19:53:00,06.01.2020,19:53:00,13138.89,13139.68,13138.66,13138.66,0.0077
06.01.2020 19:54:00.000 GMT+0100,06.01.2020 19:54:00,06.01.2020,19:54:00,13139.18,13139.19,13138.85,13139.19,0.0025
06.01.2020 19:55:00.000 GMT+0100,06.01.2020 19:55:00,06.01.2020,19:55:00,13138.9,13139.2,13138.19,13138.8,0.0083
06.01.2020 19:56:00.000 GMT+0100,06.01.2020 19:56:00,06.01.2020,19:56:00,13138.3,13139.35,13137.65,13139.18,0.0174
06.01.2020 19:57:00.000 GMT+0100,06.01.2020 19:57:00,06.01.2020,19:57:00,13138.85,13139.8,13138.85,13139.8,0.0038
06.01.2020 19:58:00.000 GMT+0100,06.01.2020 19:58:00,06.01.2020,19:58:00,13139.86,13141.68,13139.7,13141.68,0.0087
06.01.2020 19:59:00.000 GMT+0100,06.01.2020 19:59:00,06.01.2020,19:59:00,13142.16,13144.67,13142.16,13143.8,0.0236
06.01.2020 20:00:00.000 GMT+0100,06.01.2020 20:00:00,06.01.2020,20:00:00,13143.8,13143.8,13139.18,13139.18,0.0351
06.01.2020 20:01:00.000 GMT+0100,06.01.2020 20:01:00,06.01.2020,20:01:00,13138.85,13139.8,13138.3,13138.68,0.0387
06.01.2020 20:02:00.000 GMT+0100,06.01.2020 20:02:00,06.01.2020,20:02:00,13139.18,13139.68,13138.85,13139.19,0.0237
06.01.2020 20:03:00.000 GMT+0100,06.01.2020 20:03:00,06.01.2020,20:03:00,13139.7,13141.2,13139.65,13141.18,0.0285
06.01.2020 20:04:00.000 GMT+0100,06.01.2020 20:04:00,06.01.2020,20:04:00,13140.85,13140.9,13140.15,13140.9,0.0257
06.01.2020 20:05:00.000 GMT+0100,06.01.2020 20:05:00,06.01.2020,20:05:00,13141.18,13142.38,13141.16,13142.38,0.0244
06.01.2020 20:06:00.000 GMT+0100,06.01.2020 20:06:00,06.01.2020,20:06:00,13142.2,13143.3,13141.15,13143.3,0.0303
06.01.2020 20:07:00.000 GMT+0100,06.01.2020 20:07:00,06.01.2020,20:07:00,13143.5,13143.5,13141.15,13141.66,0.0307
06.01.2020 20:08:00.000 GMT+0100,06.01.2020 20:08:00,06.01.2020,20:08:00,13141.86,13144.2,13141.65,13144.2,0.0273
06.01.2020 20:09:00.000 GMT+0100,06.01.2020 20:09:00,06.01.2020,20:09:00,13144.4,13145.3,13143.69,13144.8,0.0328
